id;Full_Name;Project_id;Nomination;Prize;Login;Password
36;Семен Богданович Зимин;5379;Проект будущего;304000;СБЗимин;4mJA9TJev4
37;Нинель Николаевна Жукова;7603;Лидеры инноваций;2321000;ННЖукова;oYjo9do!Bv
38;Чеслав Владленович Шаров;7154;Лидеры инноваций;1958000;ЧВШаров;f1t?5(lmGK
39;Иннокентий Венедиктович Михеев;6986;Двигатель прогресса;977000;ИВМихеев;E5Fw0DGZRB
40;Галина Феликсовна Петухова;2484;Молодой новатор;906000;ГФПетухова;M!nQQYzM.(
41;Ким Елисеевич Осипов;4388;Молодой новатор;1438000;КЕОсипов;o.7KJMFVsZ
42;Прасковья Алексеевна Панфилова;2292;Проект будущего;1900000;ПАПанфилова;sG2KuePQJv
43;Мартын Жанович Носков;6148;Проект будущего;2985000;МЖНосков;x79HqQCKbA
44;Кира Захаровна Прохорова;7131;Молодой новатор;2202000;КЗПрохорова;LYSQoNC.(6
45;Вениамин Андреевич Антонов;1895;Меняющие реальность;806000;ВААнтонов;jjJiS9vC3t
46;Виктория Никифоровна Прохорова;1794;Молодой новатор;2455000;ВНПрохорова;DvEatSvIAt
47;Анжела Федоровна Пестова;8492;Проект будущего;2145000;АФПестова;HcTFc!82SU
48;Майя Леонидовна Хохлова;1939;Лидеры инноваций;617000;МЛХохлова;QiJ331!7Hw
49;Самсон Трифонович Якушев;7003;Лидеры инноваций;757000;СТЯкушев;VtjeW2DSyb
50;Яков Матвеевич Маслов;8373;Меняющие реальность;1705000;ЯММаслов;Y325YoreXY
51;Ювеналий Георгиевич Воронов;9178;Меняющие реальность;2288000;ЮГВоронов;4epMHrt0me
52;Анна Степановна Костина;3478;Меняющие реальность;1601000;АСКостина;.JEmGqXlNu
53;Артемий Якубович Зайцев;5884;Проект будущего;2532000;АЯЗайцев;KK3?krNam?
54;Лавр Гурьевич Юдин;9698;Лидеры инноваций;132000;ЛГЮдин;m)gb9UXJtM
55;Агафья Эльдаровна Копылова;5298;Проект будущего;138000;АЭКопылова;xC6PAGmmo7
56;Маргарита Владимировна Ермакова;4698;Меняющие реальность;1481000;МВЕрмакова;7GeCMtfB6m
57;Аникита Денисович Носов;8851;Проект будущего;1849000;АДНосов;0xqTGkB9Iw
58;Владлен Арсеньевич Селиверстов;9698;Двигатель прогресса;2832000;ВАСеливерстов;XQn5PtLZ8P
59;Елена Васильевна Белякова;7003;Лидеры инноваций;1172000;ЕВБелякова;i8ht5CW4B8
60;Ерофей Владиславович Тихонов;6362;Меняющие реальность;1659000;ЕВТихонов;sxmKo7zEl6
61;Дмитрий Харлампович Бобылев;6106;Двигатель прогресса;261000;ДХБобылев;FmYsFZdwTt
62;Раиса Кузьминична Трофимова;4198;Меняющие реальность;NULL;РКТрофимова;zSat6Ms3j0
63;Ирина Станиславовна Сорокина;2034;Меняющие реальность;571000;ИССорокина;PU1DhKi21L
64;Ангелина Яковлевна Силина;9728;Проект будущего;2817000;АЯСилина;UgcwVXT2mH
65;Михей Жанович Устинов;7850;Молодой новатор;1159000;МЖУстинов;sdFpI6MSaQ
66;Марина Богдановна Богданова;7980;Двигатель прогресса;2796000;МББогданова;tRl2oqPFbv
67;Аркадий Григорьевич Исаков;5981;Меняющие реальность;1861000;АГИсаков;KMQXcuUyNF
68;Стоян Фролович Рогов;4083;Проект будущего;1378000;СФРогов;Cfvjm!1L.(
69;Мстислав Артурович Антонов;9251;Проект будущего;633000;МААнтонов;gGY9fURL0t
70;Аполлон Гаврилович Ширяев;1754;Проект будущего;1272000;АГШиряев;?q4kCHzms4
71;Анжелика Анатольевна Полякова;2414;Проект будущего;519000;ААПолякова;8roRt1d3X.
72;Елена Болеславовна Ермакова;2908;Молодой новатор;246000;ЕБЕрмакова;89MnbzHCVf
73;Агап Чеславович Емельянов;6535;Двигатель прогресса;1725000;АЧЕмельянов;dZ5fM(3Z4G
74;Леон Эдгарович Колобов;6106;Меняющие реальность;1296000;ЛЭКолобов;D(E(HxQ?yn
75;Афиноген Бориславович Юдин;9516;Молодой новатор;1146000;АБЮдин;0gh80(zA3b
76;Агафья Аркадьевна Рябова;7954;Меняющие реальность;1223000;ААРябова;TWYebf5gU8
77;София Валериевна Макарова;3383;Проект будущего;1776000;СВМакарова;0Hhr.nZwR7
78;Родион Авдеевич Власов;4056;Молодой новатор;1501000;РАВласов;SU!7i?g88V
79;Акулина Семеновна Васильева;9223;Меняющие реальность;2702000;АСВасильева;hA7MA()S(m
80;Арсений Демьянович Беляев;1496;Молодой новатор;2707000;АДБеляев;.zBDDH.MbK
81;Владлен Арсеньевич Рыбаков;1819;Меняющие реальность;596000;ВАРыбаков;2g4!mCVO2v
82;Борис Эдгарович Брагин;3489;Двигатель прогресса;494000;БЭБрагин;(B41cls(6r
83;Ратибор Адрианович Харитонов;4994;Проект будущего;1874000;РАХаритонов;PAbvBeY.I8
84;Феврония Леонидовна Доронина;3691;Лидеры инноваций;1703000;ФЛДоронина;T1rxR(rlQ3
85;Кондрат Эдгардович Поляков;7769;Лидеры инноваций;942000;КЭПоляков;WVZXMJ(6dX
86;Ольга Федоровна Сысоева;2184;Двигатель прогресса;1832000;ОФСысоева;zfLBREslo(
87;Лидия Максимовна Кириллова;1722;Двигатель прогресса;723000;ЛМКириллова;qSPOspvON)
88;Глафира Александровна Ершова;7589;Меняющие реальность;2759000;ГАЕршова;4BBsIXDCOh
89;Алина Вячеславовна Исаева;2110;Меняющие реальность;2675000;АВИсаева;ngO8d7LOkl
90;Аскольд Марсович Красильников;3982;Меняющие реальность;2537000;АМКрасильников;KDUnJJPW0u
91;Анисим Владиленович Баранов;2549;Молодой новатор;2656000;АВБаранов;tHVg2KUV(K
92;Октябрина Валериевна Григорьева;6395;Лидеры инноваций;177000;ОВГригорьева;?vCb.)lPyL
93;Никандр Игоревич Юдин;1061;Двигатель прогресса;2208000;НИЮдин;XFBO)4)PJy
94;Валерьян Ерофеевич Шилов;5792;Меняющие реальность;1174000;ВЕШилов;2octWplvbB
95;Прасковья Олеговна Николаева;8349;Лидеры инноваций;1997000;ПОНиколаева;HHLnw8nCFD
96;Клавдий Игнатович Королев;9694;Лидеры инноваций;NULL;КИКоролев;uIYmYF)3YN
97;Наталья Даниловна Евдокимова;2578;Меняющие реальность;2254000;НДЕвдокимова;6u8!WeY(?T
98;Глафира Владиславовна Воронцова;5195;Лидеры инноваций;1435000;ГВВоронцова;9Kj4yha8ki
99;Зиновий Давыдович Белоусов;4198;Молодой новатор;1878000;ЗДБелоусов;E5uM6SpTKl
100;София Сергеевна Михеева;3921;Лидеры инноваций;545000;ССМихеева;MiTPr!WK(O
101;Екатерина Альбертовна Кудрявцева;4428;Двигатель прогресса;1429000;ЕАКудрявцева;HEx.V(6Jaa
102;Мариан Валентинович Рыбаков;8888;Молодой новатор;1533000;МВРыбаков;B1qtCkyvN(
103;Нинель Архиповна Крюкова;3128;Двигатель прогресса;2433000;НАКрюкова;A6cf52YJEp
104;Екатерина Антоновна Вишнякова;4136;Молодой новатор;1204000;ЕАВишнякова;UcjoUfHDr(
105;Илья Фролович Уваров;6274;Проект будущего;923000;ИФУваров;VOYVrRp2IM
106;Надежда Архиповна Алексеева;7060;Молодой новатор;350000;НААлексеева;eGD7DrxK7q
107;Максимильян Евстигнеевич Зиновьев;7687;Меняющие реальность;2933000;МЕЗиновьев;R!OwbHYfja
108;Феоктист Всеволодович Лебедев;4512;Проект будущего;2822000;ФВЛебедев;Mpxbc)LnEx
109;Елена Мироновна Соболева;1070;Двигатель прогресса;1704000;ЕМСоболева;4NcNLHco?P
110;Глафира Яковлевна Семенова;4994;Двигатель прогресса;2285000;ГЯСеменова;zXq.sDLO9I
111;Марфа Александровна Петухова;2034;Лидеры инноваций;1790000;МАПетухова;WqBmaJqR4U
112;Аким Елизарович Сафонов;7293;Лидеры инноваций;1958000;АЕСафонов;n6VvupnfWV
113;Венедикт Чеславович Лебедев;9162;Проект будущего;1705000;ВЧЛебедев;zXDqzQObb7
114;Вера Александровна Михеева;3914;Молодой новатор;1657000;ВАМихеева;PJ2WhdiJHL
115;Лавр Ильич Титов;5491;Двигатель прогресса;1580000;ЛИТитов;vVOuiPmKih
116;Ульяна Яковлевна Зыкова;2557;Двигатель прогресса;581000;УЯЗыкова;82v795EHpw
117;Алексей Адамович Рыбаков;5168;Меняющие реальность;2653000;ААРыбаков;5Uk?kv!OJH
118;Кир Бориславович Комаров;5332;Меняющие реальность;856000;КБКомаров;nTz87V5rO?
119;Митофан Аксёнович Федоров;1162;Проект будущего;291000;МАФедоров;X0Lxl(upA7
120;Савелий Германович Зыков;1206;Меняющие реальность;839000;СГЗыков;6FKhuLLhDF
121;Елисей Ефимович Кошелев;2557;Проект будущего;250000;ЕЕКошелев;4.HJQZfU7P
122;Адриан Яковлевич Денисов;8779;Двигатель прогресса;1950000;АЯДенисов;MsJSW4sJEO
123;Селиверст Даниилович Большаков;6847;Меняющие реальность;1524000;СДБольшаков;.DWaCKIqf!
124;Владислав Федосеевич Фадеев;3344;Проект будущего;467000;ВФФадеев;.FGMvg!)x0
125;Игорь Харитонович Устинов;1883;Меняющие реальность;1169000;ИХУстинов;1?9sdTVyrN
126;Алина Семеновна Игнатьева;9110;Молодой новатор;2724000;АСИгнатьева;DU!swKop3V
127;Всеволод Яковлевич Сафонов;5981;Молодой новатор;1501000;ВЯСафонов;2iSl.AuVWa
128;Селиверст Давидович Щукин;1512;Меняющие реальность;757000;СДЩукин;b81zPzMXiy
129;Анжелика Артемовна Потапова;3722;Лидеры инноваций;2469000;ААПотапова;.!M?ulJBM4
130;Адриан Витальевич Захаров;4237;Лидеры инноваций;172000;АВЗахаров;f(ok9OFN(3
131;Исидор Ануфриевич Субботин;5228;Меняющие реальность;2919000;ИАСубботин;pCJDjJjsLP
132;Лора Ждановна Исаева;6395;Меняющие реальность;2796000;ЛЖИсаева;8D1ljpGEXS
133;Афиноген Трифонович Аксенов;4083;Молодой новатор;2515000;АТАксенов;YZAwSYq?9n
134;Акулина Викторовна Коновалова;3855;Меняющие реальность;1761000;АВКоновалова;NUUk!g9N2A
135;Марина Ефимовна Тетерина;4994;Меняющие реальность;1748000;МЕТетерина;mEIas6pr?d
136;Парфен Васильевич Михеев;2308;Молодой новатор;2345000;ПВМихеев;(LjI4pCZ7M
137;Оксана Оскаровна Быкова;6007;Проект будущего;2009000;ООБыкова;bZYFvstEyN
138;Ираида Степановна Соколова;9961;Двигатель прогресса;338000;ИССоколова;.ZIFfUt2FH
139;Лариса Вадимовна Тетерина;2959;Двигатель прогресса;113000;ЛВТетерина;vE4Us)4W3n
140;Дарья Эдуардовна Кулакова;8333;Проект будущего;909000;ДЭКулакова;1HS(pdnOER
141;Эмиль Гордеевич Пестов;9454;Лидеры инноваций;2283000;ЭГПестов;TiTS021jz5
142;Кира Эдуардовна Юдина;6986;Двигатель прогресса;2967000;КЭЮдина;3uM29N.k.3
143;Наталья Ждановна Стрелкова;1332;Проект будущего;2871000;НЖСтрелкова;xk1D8imdc3
144;Борислав Фокич Филиппов;7312;Двигатель прогресса;1665000;БФФилиппов;qT5jWCAHxq
145;Назар Феодосьевич Красильников;3773;Двигатель прогресса;2619000;НФКрасильников;4iJTl6ZMzR
146;Чеслав Викентьевич Филиппов;9465;Лидеры инноваций;1570000;ЧВФилиппов;1fWc?25rTl
147;Прокл Васильевич Пестов;3656;Меняющие реальность;331000;ПВПестов;PaGR18I(B.
148;Агата Матвеевна Маслова;5307;Лидеры инноваций;463000;АММаслова;IdjLI126F?
149;Федосий Ермилович Кузьмин;1332;Проект будущего;897000;ФЕКузьмин;XsfpE)QkbV
150;Павел Глебович Королев;7131;Молодой новатор;1669000;ПГКоролев;93.X?ktmIW
151;Ладимир Федотович Осипов;5121;Двигатель прогресса;1021000;ЛФОсипов;RYOvp!GbJY
152;Владилен Августович Шарапов;1775;Лидеры инноваций;1241000;ВАШарапов;ZtFGMTT0bV
153;Виктория Ивановна Цветкова;6761;Молодой новатор;1927000;ВИЦветкова;z(Jd1xWQJl
154;Олимпиада Кирилловна Иванова;6638;Меняющие реальность;351000;ОКИванова;.LNGnIZlVz
155;Фирс Елизарович Шаров;9036;Двигатель прогресса;1385000;ФЕШаров;eIPgGfjER(
156;Ипат Давыдович Мартынов;5332;Лидеры инноваций;622000;ИДМартынов;R?R7Yyzxfc
157;Марина Ждановна Уварова;7451;Меняющие реальность;2856000;МЖУварова;!bk.oNsm8m
158;Ксения Игоревна Баранова;2088;Меняющие реальность;2074000;КИБаранова;4FSKp!tY0T
159;Аркадий Ефимович Жуков;6274;Проект будущего;768000;АЕЖуков;O0hh7kaCK6
160;Фёкла Романовна Осипова;2034;Меняющие реальность;2339000;ФРОсипова;w8SRGb!PGn
161;Никон Артурович Орлов;4237;Лидеры инноваций;1155000;НАОрлов;ByWwinhUE9
162;Раиса Тарасовна Куликова;8888;Меняющие реальность;970000;РТКуликова;(lMA396j19
163;Феврония Афанасьевна Большакова;6311;Двигатель прогресса;961000;ФАБольшакова;uSPjUX!jvL
164;Ким Валерьевич Константинов;9676;Двигатель прогресса;2520000;КВКонстантинов;W2.XqivDRL
165;Ольга Вадимовна Громова;4495;Молодой новатор;998000;ОВГромова;rgA)dO9k1x
166;Демид Филимонович Куликов;4446;Меняющие реальность;2559000;ДФКуликов;ZlsS(sK0SH
167;Олимпий Харитонович Русаков;7589;Молодой новатор;2997000;ОХРусаков;!25rUzSzN0
168;Тихон Ерофеевич Воробьев;4428;Меняющие реальность;682000;ТЕВоробьев;aRabPOvqdd
169;Исидор Гурьевич Блинов;9002;Молодой новатор;NULL;ИГБлинов;om7tOO8Af(
170;Лидия Львовна Галкина;5195;Молодой новатор;1124000;ЛЛГалкина;wpLWMlzOTH
171;Алла Кузьминична Зайцева;2768;Меняющие реальность;NULL;АКЗайцева;e5EjxnVp!M
172;Анна Наумовна Куликова;6155;Молодой новатор;1041000;АНКуликова;Ro0!VJsf7J
173;Болеслав Августович Рожков;2480;Меняющие реальность;2408000;БАРожков;QuIP72(Gmz
174;София Аскольдовна Моисеева;3722;Молодой новатор;2875000;САМоисеева;mxG9bP(H32
175;Богдан Иосипович Овчинников;8557;Двигатель прогресса;2140000;БИОвчинников;UTOhkgoqRv
176;Нинель Артемовна Носкова;6461;Молодой новатор;2522000;НАНоскова;wArSuZxo?Y
177;Борислав Антонович Комиссаров;6761;Проект будущего;680000;БАКомиссаров;248e6HwIi1
178;Иванна Анатольевна Кулакова;2480;Проект будущего;NULL;ИАКулакова;.a)SF(l.My
179;Любовь Вячеславовна Медведева;4083;Двигатель прогресса;2828000;ЛВМедведева;Tt4YRqAGXN
180;Марфа Сергеевна Мельникова;3855;Молодой новатор;1354000;МСМельникова;G)OvO6Hdvs
181;Наталья Вячеславовна Евдокимова;9178;Лидеры инноваций;2884000;НВЕвдокимова;VN)Ij1lMMS
182;Аким Федосеевич Мартынов;9223;Лидеры инноваций;1060000;АФМартынов;LO(TzjbTsF
183;Аверьян Дорофеевич Рогов;5400;Меняющие реальность;947000;АДРогов;PDGnTr!28G
184;Евлампий Глебович Филатов;2419;Лидеры инноваций;794000;ЕГФилатов;iBU8UedyLK
185;Ратибор Феоктистович Горбунов;7792;Лидеры инноваций;745000;РФГорбунов;w.qobbWNEW
186;Архип Фокич Мишин;6638;Молодой новатор;2198000;АФМишин;!(9CucJQSA
187;Эмилия Николаевна Степанова;8165;Проект будущего;1682000;ЭНСтепанова;4M2)bX6ry9
188;Жанна Юльевна Лихачева;2947;Меняющие реальность;1546000;ЖЮЛихачева;Y!Q!8BUIl5
189;Митофан Бориславович Ермаков;1332;Меняющие реальность;1920000;МБЕрмаков;rkVORW5A1X
190;Фаина Владиславовна Большакова;1496;Проект будущего;2973000;ФВБольшакова;QAlh8p)pY0
191;Иван Арсенович Киселев;4923;Молодой новатор;1827000;ИАКиселев;mgACYTqZOX
192;Добромысл Германович Константинов;6262;Меняющие реальность;415000;ДГКонстантинов;OK(?C5oc!n
193;Татьяна Рубеновна Степанова;1939;Меняющие реальность;2644000;ТРСтепанова;jFS80H2Uxm
194;Регина Егоровна Кириллова;3722;Молодой новатор;1520000;РЕКириллова;!j6XFhP8PG
195;Савва Эдгарович Кудряшов;8283;Двигатель прогресса;2548000;СЭКудряшов;3B2?ZKVhH5
196;Марфа Вениаминовна Орлова;3821;Меняющие реальность;509000;МВОрлова;)kMbBhBEYs
197;Клавдия Федоровна Алексеева;2706;Молодой новатор;1081000;КФАлексеева;Ng0pzuGi7d
198;Вячеслав Филатович Кириллов;1939;Двигатель прогресса;739000;ВФКириллов;5WkLVqmtjE
199;Клавдия Тарасовна Зыкова;7240;Двигатель прогресса;NULL;КТЗыкова;.R2d7WZIib
200;Галина Аркадьевна Шилова;1939;Проект будущего;2058000;ГАШилова;n0qyHeYLDz
201;Виталий Георгиевич Григорьев;3556;Проект будущего;2147000;ВГГригорьев;EaT(JWXTMj
202;Эмилия Сергеевна Гусева;7197;Проект будущего;1378000;ЭСГусева;HNBstIGg8!
203;Тихон Андреевич Евдокимов;4428;Молодой новатор;NULL;ТАЕвдокимов;JR13I1.iUS
204;Боян Зиновьевич Осипов;2152;Лидеры инноваций;2925000;БЗОсипов;K!05Pa8yZ)
205;Ольга Харитоновна Рожкова;6395;Меняющие реальность;1952000;ОХРожкова;kClCcet!lz
206;Василиса Максимовна Герасимова;1358;Меняющие реальность;463000;ВМГерасимова;YC0!pxsMQ8
207;София Семеновна Лаврентьева;8080;Проект будущего;2124000;ССЛаврентьева;fAoybwm(.B
208;Антонина Михайловна Зуева;5325;Лидеры инноваций;658000;АМЗуева;uR3ZoVf2u)
209;Галина Наумовна Панфилова;8018;Молодой новатор;2930000;ГНПанфилова;piG0qIpMOV
210;Орлов Лаврентий Витальевич;5988;Молодой новатор;1747000;ОЛВитальевич;g)K2OLrevN
211;Виктория Кузьминична Гордеева;5228;Молодой новатор;842000;ВКГордеева;jbZulAzHKp
212;Ермил Аксёнович Терентьев;8062;Двигатель прогресса;1456000;ЕАТерентьев;yC6n4UE1S0
213;Кузьма Аксёнович Павлов;7318;Меняющие реальность;515000;КАПавлов;CilN?WNszK
214;Панкрат Жоресович Королев;3821;Проект будущего;1464000;ПЖКоролев;i7XU(zm2rq
215;Феврония Андреевна Князева;4237;Двигатель прогресса;1022000;ФАКнязева;wSVtA?8Wuq
216;Климент Демьянович Гущин;5325;Молодой новатор;2298000;КДГущин;?prnR1fc?w
217;Евдокия Валериевна Щербакова;4994;Проект будущего;1622000;ЕВЩербакова;f4xW?)q?7G
218;Анисим Матвеевич Никитин;3834;Меняющие реальность;2645000;АМНикитин;ypdNDc5r0d
219;Таисия Львовна Павлова;6789;Молодой новатор;2098000;ТЛПавлова;fYy5iRAPIi
220;Фотий Августович Громов;9649;Меняющие реальность;2256000;ФАГромов;eF1modSQDe
221;Элеонора Юльевна Аксенова;9437;Лидеры инноваций;302000;ЭЮАксенова;MJ2eamKTwT
222;Гордеева Елизавета Юрьевна;7318;Проект будущего;570000;ГЕЮрьевна;sUy2?D3X0r
223;Зиновий Трофимович Стрелков;7636;Двигатель прогресса;2860000;ЗТСтрелков;SEoyJWCtCt
224;Дарья Ниловна Юдина;2384;Лидеры инноваций;2036000;ДНЮдина;6SnMVrARKk
225;Иларион Харламович Медведев;7553;Двигатель прогресса;1410000;ИХМедведев;MnmA2DWYTd
226;Ирина Филипповна Маркова;5233;Двигатель прогресса;561000;ИФМаркова;WCld(Ow3!7
227;Афанасий Тарасович Волков;3516;Проект будущего;1327000;АТВолков;IQXz2Li22D
228;Фадей Трифонович Гущин;5379;Молодой новатор;2013000;ФТГущин;3r.ejvSoMF
229;Евдокия Алексеевна Аксенова;5537;Двигатель прогресса;571000;ЕААксенова;ft1YOaoP?R
230;Антонина Мироновна Симонова;6155;Лидеры инноваций;765000;АМСимонова;9ZDt0XlKgy
231;Татьяна Львовна Тимофеева;8045;Меняющие реальность;1787000;ТЛТимофеева;C3l.R5hMoc
232;Леонтий Герасимович Кононов;3855;Проект будущего;2175000;ЛГКононов;Ri(xOWClB!
233;Валерия Альбертовна Ефремова;4087;Молодой новатор;1835000;ВАЕфремова;x6fIot((VL
234;Владимир Витальевич Баранов;2706;Лидеры инноваций;1238000;ВВБаранов;9HGWD3UZN.
235;Марфа Руслановна Рыбакова;7514;Проект будущего;1066000;МРРыбакова;SUeZR9S(Iv
236;Ерофей Архипович Цветков;5045;Двигатель прогресса;2070000;ЕАЦветков;0izG2eaWa?
237;Зосима Владленович Марков;9251;Двигатель прогресса;503000;ЗВМарков;beqss4T29G
238;Эдуард Бориславович Соколов;7589;Лидеры инноваций;1763000;ЭБСоколов;DE6WwcmvGd
239;Феврония Тимофеевна Гущина;3821;Лидеры инноваций;862000;ФТГущина;19FMNJAbF3
240;Святослав Венедиктович Волков;3296;Двигатель прогресса;228000;СВВолков;XvJhMlAH6z
241;Регина Харитоновна Русакова;2822;Проект будущего;363000;РХРусакова;Loc(cJZ.C7
242;Глафира Наумовна Лазарева;9311;Лидеры инноваций;2709000;ГНЛазарева;oEsrX0J5OT
243;Дарья Романовна Рожкова;3556;Проект будущего;1842000;ДРРожкова;xh0NEF?mQ5
244;Богдан Артёмович Федоров;8492;Молодой новатор;617000;БАФедоров;W4d3NM)lj4
245;Акулина Федоровна Шашкова;5186;Молодой новатор;2792000;АФШашкова;qQQTQqnYcm
246;Ульян Захарьевич Логинов;5160;Молодой новатор;1730000;УЗЛогинов;5AH!evjn8W
247;Таисия Захаровна Рогова;1814;Двигатель прогресса;1627000;ТЗРогова;fo9)h?W7XE
248;Глафира Валериевна Лапина;6789;Лидеры инноваций;2346000;ГВЛапина;1rnYMsbIQL
249;Олимпиада Егоровна Панова;2412;Молодой новатор;1806000;ОЕПанова;bMEYbx(I!D
250;Герасим Фёдорович Никифоров;6155;Лидеры инноваций;549000;ГФНикифоров;U0j7fqeynO
251;Олимпиада Ивановна Маркова;5699;Молодой новатор;NULL;ОИМаркова;MGQ411.7Fa
252;Елена Кузьминична Михайлова;1420;Меняющие реальность;2420000;ЕКМихайлова;ls8rQ.PVQJ
253;Полина Юльевна Морозова;2768;Двигатель прогресса;1535000;ПЮМорозова;HeWhgOR06L
254;Парфен Герасимович Зайцев;9578;Двигатель прогресса;1203000;ПГЗайцев;pdP0wriuSc
255;Пантелеймон Эдуардович Кононов;2222;Молодой новатор;1526000;ПЭКононов;Kjqa.yB)KR
256;Аверкий Тимурович Ефимов;8670;Меняющие реальность;2836000;АТЕфимов;(GdWD(yWrs
257;Семен Еремеевич Веселов;3409;Лидеры инноваций;1468000;СЕВеселов;em1xz98xOX
258;Всеволод Давидович Кулаков;9162;Молодой новатор;1501000;ВДКулаков;(gPr.gXJ0A
259;Никодим Исидорович Гурьев;9473;Лидеры инноваций;2887000;НИГурьев;rlJyP5ySz)
260;Вера Викторовна Пономарева;3982;Молодой новатор;1140000;ВВПономарева;QajsThtCUg
261;Екатерина Юрьевна Иванова;4486;Проект будущего;2916000;ЕЮИванова;QO?bMUfmSA
262;Ангелина Рудольфовна Артемьева;7494;Молодой новатор;NULL;АРАртемьева;wyMnnoufSu
263;Елена Вадимовна Королева;2578;Молодой новатор;768000;ЕВКоролева;IQAK381P9Q
264;Автоном Венедиктович Шилов;2822;Двигатель прогресса;194000;АВШилов;j3Ql.kyIqx
265;Агап Владиленович Алексеев;8851;Лидеры инноваций;NULL;АВАлексеев;NH5ngyQ0Nn
266;Кира Романовна Кудрявцева;4945;Молодой новатор;1562000;КРКудрявцева;5yWd7uH2VM
267;Добромысл Аверьянович Попов;2854;Лидеры инноваций;858000;ДАПопов;FaSHE8(efe
268;Фаина Макаровна Крюкова;8031;Меняющие реальность;1179000;ФМКрюкова;7wYpS6SeA2
269;Ульяна Аркадьевна Тимофеева;5627;Молодой новатор;1972000;УАТимофеева;L!AEjSDS(z
270;Прасковья Эльдаровна Моисеева;1604;Лидеры инноваций;1673000;ПЭМоисеева;w5dwaHLyC5
271;Кондратий Александрович Доронин;5022;Лидеры инноваций;1256000;КАДоронин;wMzdmWJ0xU
